Debug Komutu,Açıklama,Kullanım,Örnek Sonuç
game.totalHasene,Toplam hasene görüntüle,Console'da yazın,2500
game.level,Mevcut seviye,Console'da yazın,3
game.streak,Günlük streak,Console'da yazın,7
game.hearts,Kalp sayısı,Console'da yazın,4
game.dailyHasene,Günlük hasene,Console'da yazın,450
game.calculateLevel(5000),Belirli XP'de seviye hesapla,XP değeri verin,4
game.getXPRequiredForLevel(5),Belirli seviye için XP,Seviye numarası,8000
testWordMatching(),Kelime eşleştirme testi,Fonksiyon çağırın,Test sonuçları
game.testAllFanfares(),Tüm fanfarları test et,Ses testleri için,4 fanfar çalar
game.addHasene(1000),Manuel hasene ekle,Test için,Hasene +1000
game.setLevel(10),Manuel seviye ayarla,Test için,Seviye 10 olur
game.setStreak(50),Manuel streak ayarla,Test için,Streak 50 olur  
game.addHearts(5),Manuel kalp ekle,Test için,Kalp +5 (max 5)
game.resetProgress(),Tüm progress sıfırla,Baştan başlamak için,Sıfırlanır
localStorage.clear(),Tüm veriyi temizle,Tam reset için,Tüm data silinir
game.masteredWords,Öğrenilen kelimeleri gör,Mastery tracking,Kelime listesi
game.wordData.length,Toplam kelime sayısı,Veritabanı boyutu,1000+
game.getCurrentWord(),Mevcut kelime,Oyun sırasında,Kelime objesi
game.saveProgress(),Manuel kaydet,Veri kaydetme,LocalStorage'a kaydeder
game.loadProgress(),Manuel yükle,Veri yükleme,LocalStorage'dan yükler  
window.soundManager.playVictory(),Victory fanfar,Ses testi,Victory müziği
window.soundManager.playPerfect(),Perfect fanfar,Ses testi,Perfect müziği
window.soundManager.playAchievement(),Achievement fanfar,Ses testi,Achievement müziği
window.soundManager.playStreak(),Streak fanfar,Ses testi,Streak müziği
window.soundManager.toggleSound(),Ses aç/kapat,Ses kontrolü,Toggle yapar
console.log(game),Oyun objesini gör,Debug için,Tüm game properties
Object.keys(game),Game metodları listele,Mevcut fonksiyonları gör,Fonksiyon isimleri
game.difficulty,Mevcut zorluk,Hangi seviye,kolay/orta/zor
game.mode,Mevcut oyun modu,Hangi mod,translation/listening vs
game.updateUI(),UI'ı güncelle,Manuel UI update,UI yenilenir
game.checkStreakMilestone(0 3),Streak milestone test,Milestone tetikle,Fanfar çalar
document.querySelector('.arabic-word'),Arapça element,DOM elementini gör,HTML element
getComputedStyle(element),CSS stillerini gör,Element stillerini kontrol et,CSS properties
performance.now(),Performans zamanı,Timing ölçümü,Timestamp
console.time('test'),Zaman ölçümü başlat,Performance test,Timer başlar
console.timeEnd('test'),Zaman ölçümü bitir,Performance sonucu,Süre sonucu
window.location.reload(),Sayfayı yenile,Hard refresh,Sayfa yenilenir
JSON.stringify(game.masteredWords),Mastered words JSON,Veriyi görmek için,JSON format
JSON.parse(localStorage.getItem('masteredWords')),LocalStorage parse,Veriyi parse et,Object format
navigator.userAgent,Tarayıcı bilgisi,Hangi tarayıcı,Browser string
window.innerWidth,Ekran genişliği,Responsive test,Pixel değeri
window.innerHeight,Ekran yüksekliği,Responsive test,Pixel değeri
document.fonts.ready,Font yükleme,Font hazır mı,Promise
AudioContext.state,Ses durumu,Audio context aktif mi,running/suspended
game.wordsLearned,Öğrenilen kelime sayısı,Kaç kelime öğrendim,Number
game.calculateMasteredWords(),Mastered kelime hesapla,Güncel hesaplama,Updated count
game.checkLevelUp(oldXP newXP),Level up kontrolü,Seviye atlama testi,Boolean
Date.now(),Mevcut zaman,Timestamp,Milliseconds
new Date().toDateString(),Bugünün tarihi,Tarih string,Date string
Math.random(),Rastgele sayı,0-1 arası,Random float
Math.floor(Math.random()*10),Rastgele integer,0-9 arası,Random integer
Array.from(document.querySelectorAll('.btn')),Tüm butonları seç,DOM elementleri,NodeList array
window.getComputedStyle(document.body).fontSize,Body font size,CSS değeri,Pixel değeri
game.isGameActive,Oyun aktif mi,Oyun durumu,Boolean
game.currentQuestion,Mevcut soru,Hangi soru,Question object
game.timeLeft,Kalan süre,Speed mode'da,Seconds
game.correctAnswers,Doğru cevaplar,Mevcut oturumda,Number
game.wrongAnswers,Yanlış cevaplar,Mevcut oturumda,Number
(game.correctAnswers/(game.correctAnswers+game.wrongAnswers))*100,Başarı oranı,Accuracy yüzdesi,Percentage
